Field Name,Label,Type,Required,Unique,Picklist Values
DTAG_PreapprovalSkippedClaimFromParent__c,DTAG_PreapprovalSkippedClaimFromParent,boolean,True,False,
DTAG_SETRA_End_Date__c,SETRA End Date,date,False,False,
DTAG_SETRA_Times_Applicable__c,SETRA Times Applicable,boolean,True,False,
DTAG_Total_Labor_Requested_Amount_BU__c,Total Labor Requested Net Amount,double,False,False,
DTAG_Total_Labor_Requested_Gross_BU_Amt__c,Total Labor Requested Gross Amount,double,False,False,
DTAG_Total_Non_OEM_Part_Req_Grs_BU_Amt__c,Total Non OEM Parts Requested Gross Amt,double,False,False,
DTAG_Total_OEM_Parts_Req_Gross_BU_Amt__c,Total OEM Parts Requested Gross Amount,double,False,False,
DTAG_Total_Other_Requested_Amount_BU__c,Total Other Requested Net Amount,double,False,False,
DTAG_Total_Other_Requested_Gross_BU_Amt__c,Total Other Requested Gross Amount,double,False,False,
DTAG_Total_Parts_Requested_Amount_BU__c,Total Parts Requested Net Amount,double,False,False,
DTAG_Total_Requested_DH_BU__c,Total Requested Dealer Handling,double,False,False,
DTAG_Upper_Limit_Labor_Units__c,Upper Limit Labor Units,string,False,False,
DTAG_Total_Parts_Requested_Gross_BU_Amt__c,Total Parts Requested Gross Amount,double,False,False,
DTAG_Total_Requested_Gross_BU_Amount__c,Total Requested Gross BU Amount,double,False,False,
DTAG_Total_Requested_Net_Amount_BU__c,Total Requested Net Amount,double,False,False,
DTAG_Payment_Tracker__c,Payment Tracker,string,False,False,
DTAG_Closure_Date__c,Closure Date,date,False,False,
WOD_2__Rejection_Reasons__c,Rejection Reasons,multipicklist,False,False,"Labor not covered in Goodwill, Labor time adjusted as per Peer average, No invoice attached, Not covered in warranty"
DTAG_Product_Family__c,Product Family,string,False,False,
DTAG_Time_in_Service_Part_UI__c,Time in Service (Part),string,False,False,
DTAG_Time_in_Service_Vehicle_UI__c,Time in Service (Vehicle),string,False,False,
DTAG_Applicable_Coverage_String__c,Applicable Coverage,string,False,False,
DTAG_End_Tolerance_in_Days__c,End Tolerance in days,double,False,False,
DTAG_End_Tolerance_in_Hours__c,End Tolerance in Hours,double,False,False,
DTAG_End_Tolerance_in_Km__c,End Tolerance in Km,double,False,False,
DTAG_End_Tolerance_in_Miles__c,End Tolerance in Miles,double,False,False,
DTAG_Locked_At__c,DTAG_Locked_At,datetime,False,False,
DTAG_Locked_By__c,DTAG_Locked_By,reference,False,False,
DTAG_Retail_Account_Number__c,Retail Account Number,string,False,False,
DTAG_Retail_Billing_Country__c,Retail Billing Country,string,False,False,
DTAG_Start_Tolerance_in_Days__c,Start Tolerance in days,double,False,False,
DTAG_Start_Tolerance_in_Hours__c,Start Tolerance in Hours,double,False,False,
DTAG_Start_Tolerance_in_Km__c,Start Tolerance in Km,double,False,False,
DTAG_Start_Tolerance_in_Miles__c,Start Tolerance in Miles,double,False,False,
DTAG_Submitting_Account_Number__c,Submitting Account Number,string,False,False,
DTAG_Submitting_Billing_Country__c,Submitting Billing Country,string,False,False,
DTAG_WRD__c,WRD,date,False,False,
DTAG_Wholesale_Account_Number__c,Wholesale Account Number,string,False,False,
DTAG_Wholesale_Billing_Country__c,Wholesale Billing Country,string,False,False,
DTAG_Wholesale_Part_Price_Condition__c,Wholesale Part Price Condition,boolean,True,False,
WOD_2__Asset__c,Asset,reference,False,False,
WOD_2__CausalPartNumber_P2__c,Causal Part Number,reference,False,False,
WOD_2__External_Reference_Id__c,External Reference Id,string,False,True,
WOD_2__ModelNumber_P2__c,Model Number,reference,False,False,
WOD_2__PartNumber_P2__c,Part,reference,False,False,
DT_Claim_Status__c,Claim Status,boolean,True,False,
Approval_comment_short__c,Approval comment short,string,False,False,
DT_Account_Additional_Name__c,Account Additional Name,string,False,False,
DT_Approval_comment_short__c,Approval comment short,string,False,False,
