Id,Name,WOD_2__Units_Of_Measure__c,CurrencyIsoCode,WOD_2__Business_Unit__c,WOD_2__Business_Units__c,WOD_2__Item_Type__c,WOD_2__Major_Part__c,WOD_2__Parent_Product__c,WOD_2__Track_Type__c,WOD_2__Type__c,Business_Units_Text__c,Description_DE__c,Description_EN__c,Description_ES__c,Description_FR__c,Description_HU__c,Description_IT__c,Description_JA__c,Description_NL__c,Description_NO__c,Description_PL__c,Description_TR__c,Is_Active__c,Part_Return_Required__c,Photo_Required__c,Series_Code__c,TWOD_Eligible_for_Discount__c,Warranty_Product_Auto_Number__c,Warranty_Product_Code__c,Wearing_Part__c,KPAD_Number__c,Product_Name__c
a170E0000060TkkQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEBQA2,Serialzied,Model,KBT-EU,KC50,KC50,KC50,KC50,,KC50,,KC50,,KC50,KC50,TRUE,FALSE,FALSE,2030000100,FALSE,2303,20300,FALSE,20300-00050,2.03E+17
a170E0000060TklQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEBQA2,Serialzied,Model,KBT-EU,KC51,KC51,KC51,KC51,,KC51,,KC51,,KC51,KC51,TRUE,FALSE,FALSE,2030000100,FALSE,2304,20300,FALSE,20300-00100,2.03E+17
a170E0000060TkmQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEBQA2,Serialzied,Model,KBT-EU,KC70,KC70,KC70,KC70,,KC70,,KC70,,KC70,KC70,TRUE,FALSE,FALSE,2030000100,FALSE,2305,20300,FALSE,20300-00110,2.03E+17
a170E0000060TknQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEBQA2,Serialzied,Model,KBT-EU,KC80,KC80,KC80,KC80,,KC80,,KC80,,KC80,KC80,TRUE,FALSE,FALSE,2030000100,FALSE,2306,20300,FALSE,20300-00150,2.03E+17
a170E0000060TkoQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEBQA2,Serialzied,Model,KBT-EU,KC100,KC100,KC100,KC100,,KC100,,KC100,,KC100,KC100,TRUE,FALSE,FALSE,2030000100,FALSE,2307,20300,FALSE,20300-00200,2.03E+17
a170E0000060TkpQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEBQA2,Serialzied,Model,KBT-EU,KS120,KS120,KS120,KS120,,KS120,,KS120,,KS120,KS120,TRUE,FALSE,FALSE,2030000100,FALSE,2308,20300,FALSE,20300-00250,2.03E+17
a170E0000060TkqQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TEBQA2,Serialzied,Model,KBT-EU,KC121,KC121,KC121,KC121,,KC121,,KC121,,KC121,KC121,TRUE,FALSE,FALSE,2030000100,FALSE,2309,20300,FALSE,20300-00300,2.03E+17
a170E0000060TkrQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC70-4,KC70-4,KC70-4,KC70-4,,KC70-4,,KC70-4,,KC70-4,KC70-4,TRUE,FALSE,FALSE,2030000110,FALSE,2310,20300,FALSE,20300-00090,2.03E+17
a170E0000060TksQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC70-4 P,KC70-4 P,KC70-4 P,KC70-4 P,,KC70-4 P,,KC70-4 P,,KC70-4 P,KC70-4 P,TRUE,FALSE,FALSE,2030000110,FALSE,2311,20300,FALSE,20300-00091,2.03E+17
a170E0000060TktQAE,2.03E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TECQA2,Serialzied,Model,KBT-EU,KC70-4 E,KC70-4 E,KC70-4 E,KC70-4 E,,KC70-4 E,,KC70-4 E,,KC70-4 E,KC70-4 E,TRUE,FALSE,FALSE,2030000110,FALSE,2312,20300,FALSE,20300-00092,2.03E+17
